net - co_net,1*FNN-%25,2*FNN-%25,3*FNN-%25,1*MsFFN-%25,2*MsFFN-%25,3*MsFFN-%25,1*STMsFFN-%25,2*STMsFFN-%25,3*STMsFFN-%25,1*CNN-%25,2*CNN-%25,3*CNN-%25,1*ResNet-%25,2*ResNet-%25,3*ResNet-%25
FNN-%25,1.45,1.51,1.77,1.45,1.47,1.48,1.46,1.46,1.46,1.46,1.47,1.49,1.45,1.47,1.51
MsFFN-%25,2.53,2.68,2.76,2.54,2.71,2.71,2.51,2.59,2.66,2.5,2.59,2.68,2.52,2.7,3.13
STMsFFN-%25,3.93,4.06,4.17,3.94,4.12,4.28,3.94,4.09,4.23,4.04,4.25,4.47,4.05,4.53,5.5
CNN-%25,16.19,16.34,16.75,16.24,16.33,18.15,16.17,16.64,24.56,16.17,18.01,29.64,16.22,18.0,30.15
ResNet-%25,2.33,2.43,2.51,2.36,2.49,2.72,2.34,2.44,2.59,2.37,2.51,2.69,2.39,2.83,3.63
