net - co_net,1*FNN-%25,2*FNN-%25,3*FNN-%25,1*MsFFN-%25,2*MsFFN-%25,3*MsFFN-%25,1*STMsFFN-%25,2*STMsFFN-%25,3*STMsFFN-%25,1*CNN-%25,2*CNN-%25,3*CNN-%25,1*ResNet-%25,2*ResNet-%25,3*ResNet-%25
FNN-%25,2.1%,6.3%,24.6%,2.1%,3.5%,4.2%,2.8%,2.8%,2.8%,2.8%,3.5%,4.9%,2.1%,3.5%,6.3%
MsFFN-%25,3.3%,9.4%,12.7%,3.7%,10.6%,10.6%,2.4%,5.7%,8.6%,2.0%,5.7%,9.4%,2.9%,10.2%,27.8%
STMsFFN-%25,1.6%,4.9%,7.8%,1.8%,6.5%,10.6%,1.8%,5.7%,9.3%,4.4%,9.8%,15.5%,4.7%,17.1%,42.1%
CNN-%25,0.6%,1.6%,4.1%,0.9%,1.5%,12.8%,0.5%,3.4%,52.6%,0.5%,11.9%,84.2%,0.8%,11.9%,87.4%
ResNet-%25,2.2%,6.6%,10.1%,3.5%,9.2%,19.3%,2.6%,7.0%,13.6%,3.9%,10.1%,18.0%,4.8%,24.1%,59.2%
